match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Brighton & Hove Albion FC vs Everton FC,Brighton & Hove Albion FC,Everton FC,2026-01-31 15:00:00+00:00,Away Win,0.599145770072937,4.5,0.2222222222222222,0.3769235478507148,1.6961559653282166,12.115399752344404,0.599145770072937
West Ham United FC vs Sunderland AFC,West Ham United FC,Sunderland AFC,2026-01-24 12:30:00+00:00,Home Win,0.8539887070655823,2.58,0.38759689922480617,0.4663918078407761,1.2032908642292024,19.03941240868991,0.8539887070655823
Burnley FC vs Tottenham Hotspur FC,Burnley FC,Tottenham Hotspur FC,2026-01-24 15:00:00+00:00,Home Win,0.509194016456604,3.8,0.2631578947368421,0.2460361217197619,0.9349372625350951,8.347654129777636,0.509194016456604
Fulham FC vs Brighton & Hove Albion FC,Fulham FC,Brighton & Hove Albion FC,2026-01-24 15:00:00+00:00,Home Win,0.6593955755233765,2.7,0.37037037037037035,0.2890252051530061,0.7803680539131166,11.476000792839947,0.6593955755233765
Everton FC vs Leeds United FC,Everton FC,Leeds United FC,2026-01-26 20:00:00+00:00,Home Win,0.581375241279602,2.6,0.3846153846153846,0.19675985666421747,0.5115756273269654,7.993369176983833,0.581375241279602
Liverpool FC vs Newcastle United FC,Liverpool FC,Newcastle United FC,2026-01-31 20:00:00+00:00,Home Win,0.7463911771774292,1.84,0.5434782608695652,0.202912916307864,0.3733597660064698,11.1118977978116,0.7463911771774292
Crystal Palace FC vs Chelsea FC,Crystal Palace FC,Chelsea FC,2026-01-25 14:00:00+00:00,Draw,0.3422539234161377,3.85,0.2597402597402597,0.08251366367587798,0.31767760515213017,2.786645659229212,0.42657923698425293
Arsenal FC vs Manchester United FC,Arsenal FC,Manchester United FC,2026-01-25 16:30:00+00:00,Draw,0.28117579221725464,4.4,0.22727272727272727,0.053903064944527374,0.23717348575592045,1.7439226893817679,0.581375241279602
Newcastle United FC vs Aston Villa FC,Newcastle United FC,Aston Villa FC,2026-01-25 14:00:00+00:00,Home Win,0.5788708329200745,2.1,0.47619047619047616,0.1026803567295983,0.21562874913215646,4.900653389367192,0.5788708329200745
Brentford FC vs Nottingham Forest FC,Brentford FC,Nottingham Forest FC,2026-01-25 14:00:00+00:00,Home Win,0.5788708329200745,1.91,0.5235602094240838,0.055310623495990696,0.10564329087734214,2.902288210915993,0.5788708329200745
Manchester City FC vs Wolverhampton Wanderers FC,Manchester City FC,Wolverhampton Wanderers FC,2026-01-24 15:00:00+00:00,Home Win,0.8539887070655823,1.28,0.78125,0.07273870706558228,0.09310554504394533,8.312995093209404,0.8539887070655823
Chelsea FC vs West Ham United FC,Chelsea FC,West Ham United FC,2026-01-31 17:30:00+00:00,Home Win,0.7259930968284607,1.49,0.6711409395973155,0.05485215723114523,0.08172971427440645,4.169883381347268,0.7259930968284607
